Latitude,Longitude
[25.53958053],[-80.35049618]
[25.8253548],[-80.29111393]
[25.87613235],[-80.2196618]
[25.86267248],[-80.36568853]
[25.73741509],[-80.39756602]
[25.5060193],[-80.50329424]
[25.84582225],[-80.24873488]
[25.6088027],[-80.48996359]
[25.71233676],[-80.30946826]
[25.67722753],[-80.43437514]
[25.76776981],[-80.32741931]
[25.95140755],[-80.30815207]
[25.68420534],[-80.35469729]
[25.74434165],[-80.25164385]
[25.69586123],[-80.36202829]
[25.77934825],[-80.39076173]
[25.63958654],[-80.36124069]
[25.68607056],[-80.36382857]
[25.84173569],[-80.2325339]
[25.66124286],[-80.42911076]
[25.67743383],[-80.38340941]
[25.86193029],[-80.34754439]
[25.99691703],[-80.31160096]
[25.83150954],[-80.39349308]
[25.6878954],[-80.45212]
[25.76223932],[-80.42206356]
[26.0457418],[-80.33822811]
[25.53838863],[-80.53538969]
[25.90948911],[-80.34703812]
[26.00729517],[-80.38571373]
[25.86272758],[-80.36208896]
[25.69344457],[-80.25616816]
[25.88967705],[-80.32374827]
[25.61664024],[-80.46508109]
[25.92953871],[-80.25075769]
[26.16608309],[-80.21307705]
[25.82013056],[-80.28279788]
[25.61315848],[-80.38331744]
[25.9373646],[-80.12099608]
[25.89699038],[-80.34345484]
[25.88730157],[-80.31456727]
[25.68026766],[-80.373965]
[25.61126987],[-80.3258171]
[25.59874751],[-80.45203074]
[25.66240981],[-80.41760698]
[25.76400284],[-80.29244425]
[26.01273512],[-80.40379324]
[25.86107108],[-80.20358108]
[25.55101511],[-80.33857415]
[26.00261594],[-80.37295491]
[26.08396593],[-80.35128173]
[25.62642052],[-80.34889304]
[25.64000729],[-80.43735553]
[25.90776752],[-80.21287419]
[25.82976336],[-80.26254397]
[25.81582069],[-80.20556654]
[25.72264699],[-80.43137967]
[25.83991018],[-80.3395449]
[25.92785592],[-80.31648424]
[26.10817713],[-80.39267692]
[25.7448],[-80.22665965]
[25.75060004],[-80.37420706]
[25.71897279],[-80.34157479]
[25.75979559],[-80.32912718]
[25.55658443],[-80.43918244]
[25.74670848],[-80.37198254]
[25.97304047],[-80.3558462]
[26.00521118],[-80.40786013]
[25.64595737],[-80.34974502]
[25.60497671],[-80.4798647]
[25.73678787],[-80.38565653]
[25.53726343],[-80.42563857]
[25.87392632],[-80.37390646]
[25.76916702],[-80.22288655]
[25.87897229],[-80.16495751]
[26.09029086],[-80.23439715]
[26.06518545],[-80.34917849]
[25.68638575],[-80.29493181]
[25.57113956],[-80.46636809]
[25.56674708],[-80.4031019]
[25.57020423],[-80.47984624]
[25.89424071],[-80.25091504]
[25.72666446],[-80.43567555]
[25.7940169],[-80.27913245]
[25.44656879],[-80.47711738]
[25.75299721],[-80.31301624]
[25.82847239],[-80.34144078]
[25.8464996],[-80.29623024]
[25.77225169],[-80.33665855]
[26.0341198],[-80.22444506]
[26.27262481],[-80.27771958]
[25.87849466],[-80.23124382]
[25.77306836],[-80.37153277]
[25.76185067],[-80.42666444]
[25.82242958],[-80.31375654]
[25.99186408],[-80.19459764]
[25.83706997],[-80.29819907]
[25.74003537],[-80.25662329]
[25.84318033],[-80.25903278]
[26.03691235],[-80.34585588]
[25.73338411],[-80.35724709]
[25.80829452],[-80.24324037]
[25.67995363],[-80.43215293]
[25.57032354],[-80.35096794]
[25.92591663],[-80.25936867]
[25.75165741],[-80.24217634]
[25.64485573],[-80.3104283]
[26.09859322],[-80.40759207]
[25.70801813],[-80.46578546]
[25.78954994],[-80.26661859]
[25.54604162],[-80.37624021]
[25.76985683],[-80.42196986]
[25.95975745],[-80.21629717]
[26.05881109],[-80.37714718]
[25.79605475],[-80.3108051]
[25.78717548],[-80.23139822]
[25.84829817],[-80.17681856]
[25.80641535],[-80.24753413]
[25.68588326],[-80.33192425]
[25.87731249],[-80.12438849]
[25.80804494],[-80.39817114]
[26.09956103],[-80.40273279]
[25.73352726],[-80.36770073]
[25.73724632],[-80.34784393]
[25.83445426],[-80.2818806]
[25.75879829],[-80.42403724]
[25.46055984],[-80.53347158]
[25.72264975],[-80.3091563]
[25.7243365],[-80.27406595]
[25.9388948],[-80.33931883]
[25.79453936],[-80.26210941]
[26.09882403],[-80.26011485]
[25.53660714],[-80.40209591]
[25.89411405],[-80.31049114]
[25.97189514],[-80.30591366]
[25.91775792],[-80.15923729]
[25.86050703],[-80.35743738]
[25.72251747],[-80.45927724]
[25.79188835],[-80.35679335]
[25.74821689],[-80.35984806]
[25.61814232],[-80.36775817]
[26.00582182],[-80.23315717]
[25.81882972],[-80.34888428]
[25.65723737],[-80.30979613]
[25.52995338],[-80.50929159]
[25.89526306],[-80.27500641]
[25.94526953],[-80.22644582]
[25.82849531],[-80.32971332]
[25.83750202],[-80.23119737]
[25.88028086],[-80.24698735]
[26.01242997],[-80.33021902]
[25.70594362],[-80.4392649]
[25.69366832],[-80.47371522]
[25.74004782],[-80.27505936]
[25.84037619],[-80.27154662]
[25.548886],[-80.34667828]
[25.61206415],[-80.40388214]
[26.00569496],[-80.25467884]
[25.67904743],[-80.45024293]
[25.55887243],[-80.38952376]
[26.14112875],[-80.30001503]
[25.63847764],[-80.3551812]
[25.95071376],[-80.30326039]
[25.76013118],[-80.31539446]
[25.5178406],[-80.52035294]
[25.68047173],[-80.33390005]
[25.89936503],[-80.27571249]
[25.77395629],[-80.20382357]
[25.67469079],[-80.47471909]
[25.92693398],[-80.33786583]
[25.68935423],[-80.34674595]
[25.90758978],[-80.36460738]
[25.58537449],[-80.35803876]
[25.88445315],[-80.29055345]
[25.67327488],[-80.38500607]
[26.0362083],[-80.17645168]
[25.66735926],[-80.30328326]
[26.05249186],[-80.28878444]
[25.57546477],[-80.48536286]
[25.90552329],[-80.35074254]
[25.99467544],[-80.18680684]
[25.58217262],[-80.33662732]
[25.80365935],[-80.20889811]
[25.68923942],[-80.4369969]
[25.90277679],[-80.33183672]
[25.4671788],[-80.40534884]
[25.81677009],[-80.363292]
[25.78255087],[-80.34364534]
[25.81794522],[-80.26946578]
[25.76065199],[-80.37353587]
[25.74100128],[-80.3257856]
[25.84462193],[-80.28482973]
[25.52723575],[-80.39015345]
[25.76282142],[-80.35809452]
[25.68572028],[-80.34489845]
[25.82378934],[-80.30662005]
[25.78223557],[-80.3669929]
[25.9887272],[-80.28881228]
[25.90066549],[-80.16945243]
[25.63447267],[-80.32687739]
[26.12872226],[-80.1848417]
[25.56546399],[-80.32842389]
[25.80774865],[-80.18909328]
[25.91229473],[-80.21089044]
[25.66681914],[-80.45134861]
[25.76007932],[-80.31239194]
[25.68287431],[-80.39824872]
[25.9903776],[-80.20867944]
[25.8774121],[-80.35632679]
[25.76831563],[-80.34174412]
[25.74927504],[-80.33942101]
[25.9362629],[-80.21242079]
[25.75609403],[-80.2606089]
[25.91266149],[-80.35612825]
[25.65638669],[-80.38432931]
[25.89299337],[-80.36750082]
[25.51332431],[-80.36533686]
[25.84506968],[-80.30288763]
[25.54416191],[-80.54317345]
[25.64592527],[-80.39052074]
[26.05360125],[-80.37831309]
[25.86826837],[-80.31003762]
[25.97950755],[-80.3233496]
[25.5946634],[-80.34961695]
[25.63275003],[-80.42796378]
[25.72531383],[-80.37952384]
[25.86742576],[-80.25969417]
[25.57308571],[-80.37185267]
[25.62921655],[-80.40302892]
[25.93806383],[-80.21284877]
[25.77195464],[-80.35590998]
[25.50567757],[-80.51875333]
[25.72845155],[-80.41920313]
[25.88944476],[-80.20891307]
[26.17116235],[-80.28120511]
[25.731906],[-80.35710712]
[25.91194513],[-80.37104157]
[25.90654645],[-80.24957166]
[25.79633235],[-80.3608638]
[25.77677672],[-80.24592429]
[25.50828823],[-80.37756323]
[25.75584268],[-80.42064316]
[25.75851204],[-80.42100687]
[25.70502978],[-80.46351196]
[25.57213345],[-80.42548008]
[26.04332708],[-80.35927714]
[25.92650603],[-80.25648659]
[25.78666475],[-80.38698267]
[25.58018077],[-80.37792008]
[25.60016564],[-80.38803499]
[25.84229082],[-80.36243254]
[25.87973224],[-80.3314671]
[26.10362229],[-80.36316544]
[25.80270859],[-80.27156499]
[25.61638503],[-80.33330138]
[25.75872788],[-80.39817792]
[25.94645512],[-80.36727192]
[25.74624366],[-80.36046177]
[25.71335852],[-80.32448224]
[25.80215576],[-80.2993447]
[25.83940757],[-80.37018154]
[26.03533307],[-80.38799301]
[25.87580513],[-80.32645288]
[26.00206837],[-80.27036601]
[25.78854654],[-80.13986659]
[25.66541826],[-80.41483868]
[25.56921924],[-80.45987341]
[25.86643966],[-80.35816414]
[25.85372089],[-80.37965842]
[25.98558706],[-80.27993973]
[25.59821943],[-80.44808969]
[25.59102337],[-80.36783374]
[25.86409998],[-80.25140537]
[25.72184946],[-80.43473719]
[25.79306422],[-80.28655875]
[25.81504966],[-80.3815451]
[25.66891089],[-80.34659421]
[25.66412227],[-80.41806864]
[25.62205746],[-80.42543052]
[25.9593202],[-80.35381949]
[25.844196],[-80.30917251]
[25.83049962],[-80.12881823]
[25.85378462],[-80.31290146]
[25.69981297],[-80.38882729]
[25.86507296],[-80.3435424]
[25.68649113],[-80.45712934]
[25.86151123],[-80.35321916]
[25.97864451],[-80.28608851]
[25.83428572],[-80.20323281]
[26.10688545],[-80.22363398]
[25.78190619],[-80.27279324]
[25.689427],[-80.30697765]
[25.68739771],[-80.3272876]
[25.70473655],[-80.38671481]
[25.90552357],[-80.22283306]
[25.76901777],[-80.31626809]
[26.02265736],[-80.31789021]
[25.9074241],[-80.3787072]
[25.67846989],[-80.36671528]
[25.78902431],[-80.24473323]
[25.52134627],[-80.48008314]
[25.58523805],[-80.50647716]
[25.61046814],[-80.38664277]
[25.95040142],[-80.31461255]
[25.51549772],[-80.51841576]
[25.55660532],[-80.4726028]
[26.00455891],[-80.3696312]
[26.05787036],[-80.3211063]
[25.93318129],[-80.29650155]
[25.98688053],[-80.37264864]
[25.53583863],[-80.46853547]
[25.70323916],[-80.44700667]
[25.746493],[-80.37168036]
[26.24194429],[-80.24219748]
[25.91155989],[-80.23848495]
[25.76861725],[-80.21555575]
[25.57796988],[-80.35741141]
[25.88235064],[-80.29528529]
[25.71129587],[-80.36593242]
[25.78610973],[-80.32505534]
[25.85409038],[-80.25859679]
[25.885918],[-80.36215695]
[25.67975609],[-80.45718707]
[25.71464847],[-80.27379289]
[25.71908158],[-80.33433502]
[25.96311773],[-80.15147275]
[25.74630262],[-80.32849377]
[25.88881501],[-80.34746316]
[25.81050188],[-80.36237539]
[25.53836119],[-80.35001382]
[26.03114155],[-80.29945489]
[26.09700665],[-80.17242113]
[25.75948102],[-80.33719668]
[25.91856933],[-80.33917253]
[26.1581188],[-80.22514815]
[25.75719451],[-80.35648948]
[25.96183563],[-80.33494184]
[25.48618258],[-80.5010406]
[25.95312008],[-80.28129832]
[25.63155607],[-80.42646835]
[25.72969977],[-80.24599841]
[25.8637477],[-80.22026696]
[25.54527796],[-80.50949028]
[26.14202208],[-80.29661102]
[25.91493455],[-80.36740569]
[25.90459915],[-80.31726192]
[25.88995475],[-80.25015139]
[25.55932964],[-80.3945608]
[25.70277964],[-80.4625001]
[25.87235052],[-80.21468465]
[25.80856716],[-80.28066342]
[25.84304597],[-80.34209764]
[26.00865329],[-80.40766425]
[25.98202567],[-80.39599487]
[25.73899547],[-80.43815008]
[25.60698325],[-80.41187754]
[26.01420042],[-80.13560527]
[25.72976165],[-80.32123572]
[25.87384978],[-80.30723092]
[25.87836202],[-80.25374706]
[25.86472369],[-80.39484464]
[25.62454037],[-80.39599939]
[25.83481367],[-80.31309432]
[25.5135385],[-80.50885626]
[25.99906744],[-80.37834123]
[25.71188733],[-80.40870637]
[26.02223054],[-80.18844794]
[26.25144478],[-80.2604534]
[26.08848025],[-80.33743914]
[25.90014899],[-80.25229854]
[25.84391367],[-80.33386042]
[25.89121914],[-80.37911136]
[25.93034317],[-80.37309778]
[25.9175318],[-80.23523742]
[26.02261705],[-80.20068159]
[25.75663706],[-80.37411147]
[26.01649236],[-80.34837119]
[25.48678975],[-80.44451431]
[25.73116743],[-80.28070687]
[26.09838217],[-80.2662439]
[25.94013374],[-80.28420329]
[26.0260358],[-80.21118232]
[25.75017423],[-80.24298199]
[25.9360325],[-80.34320769]
[25.90646083],[-80.35087536]
[25.83950637],[-80.28717648]
[25.97445901],[-80.23863762]
[25.96075115],[-80.31657008]
[25.81002923],[-80.35524984]
[25.56324354],[-80.44388599]
[25.56485052],[-80.34678921]
[26.00938178],[-80.322352]
[25.93009342],[-80.32675028]
[25.82671318],[-80.18671517]
[25.78230299],[-80.36355341]
[25.71026229],[-80.47047072]
[25.60726284],[-80.49225128]
[25.74050099],[-80.40551415]
[25.7550846],[-80.26977086]
[25.72007734],[-80.40938207]
[26.17975756],[-80.2366118]
[25.97197742],[-80.37493295]
[25.72394316],[-80.27250749]
[26.08416747],[-80.29516252]
[25.78903324],[-80.18650667]
[25.69815024],[-80.43134125]
[26.06442963],[-80.36035243]
[25.75729711],[-80.21378047]
[26.03573847],[-80.23060138]
[25.91471348],[-80.28499435]
[25.7893698],[-80.40209017]
[25.62649244],[-80.41570563]
[25.69454238],[-80.44562739]
[25.71264904],[-80.28780124]
[25.65542347],[-80.39052268]
[26.07772423],[-80.38630634]
[25.58423742],[-80.33571021]
[25.72935543],[-80.28075527]
[25.5562824],[-80.50142455]
[25.63935819],[-80.3574956]
[25.98957612],[-80.16295133]
[25.83873282],[-80.34583566]
[25.86839608],[-80.31858064]
[25.90803811],[-80.2813004]
[25.84003626],[-80.27665437]
[25.63863582],[-80.44209639]
[25.46119781],[-80.46188377]
[25.87552562],[-80.36695017]
[25.61953699],[-80.3686121]
[25.95984182],[-80.3234453]
[26.00328871],[-80.24576751]
[25.47528634],[-80.49154352]
[25.72692284],[-80.34961992]
[25.79442529],[-80.21773593]
[25.87705959],[-80.17846365]
[25.68509811],[-80.46601757]
[25.68549657],[-80.43372155]
[25.84109703],[-80.37877443]
[25.93260772],[-80.18053196]
[25.58739594],[-80.36449188]
[26.12758204],[-80.25841187]
[25.76616984],[-80.2968808]
[25.72872406],[-80.32415397]
[26.11139226],[-80.12173408]
[26.08079294],[-80.36067485]
[25.95791359],[-80.2978402]
[25.54529078],[-80.39975241]
[25.74606385],[-80.24594213]
[25.6680303],[-80.33244177]
[25.75265286],[-80.21268793]
[26.00298839],[-80.36813501]
[25.52797047],[-80.51700896]
[25.96119844],[-80.35017857]
[25.53646317],[-80.37562504]
[25.7587194],[-80.19676225]
[25.98571098],[-80.40090317]
[25.86093291],[-80.23384279]
[25.64287374],[-80.40795859]
[25.54391543],[-80.49209134]
[25.82667817],[-80.25175344]
[25.81956015],[-80.39596818]
[25.89705366],[-80.25193543]
[25.46021344],[-80.44149231]
[25.99671612],[-80.32472052]
[25.87200274],[-80.37072071]
[26.051841],[-80.2955411]
[25.98572308],[-80.27411675]
[26.07912327],[-80.2593461]
[26.0226084],[-80.27648087]
[25.82693266],[-80.26745]
[25.83502115],[-80.27228489]
[25.65867894],[-80.35314904]
[26.15779606],[-80.15651643]
[25.71511992],[-80.38883793]
[25.81503888],[-80.36612392]
[25.54658692],[-80.50984175]
[25.61105265],[-80.41481441]
[26.15121013],[-80.2342499]
[25.94065073],[-80.23487615]
[25.87340228],[-80.27035453]
[25.72099139],[-80.25048944]
[25.70569056],[-80.39241829]
[25.65757734],[-80.39456958]
[25.72386805],[-80.26341206]
[25.89645549],[-80.35629289]
[25.49343463],[-80.37062706]
[25.67733829],[-80.43307172]
[25.86253023],[-80.2036622]
[25.81440656],[-80.331602]
[25.75183849],[-80.23832691]
[25.9122124],[-80.37332844]
[25.84868535],[-80.299279]
[25.91443507],[-80.26291495]
[25.90863049],[-80.38920733]
[25.7974684],[-80.30300213]
